"Property ID","CKAN API property name","Schema Name English","Schema Name French","Requirement","Occurrences","Reference","Value Type","FGP XPATH"
"29b","29-30-contact_information — city","Contact Information (English) — city","Information contact (anglais) — city","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString"
"29c","29-30-contact_information — administrativeArea","Contact Information (English) — administrativeArea","Information contact (anglais) — administrativeArea","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString"
"29d","29-30-contact_information — postalCode","Contact Information (English) — postalCode","Information contact (anglais) — postalCode","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString"
"29e","29-30-contact_information — country","Contact Information (English) — country","Information contact (anglais) — country","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString"
"29f","29-30-contact_information — electronicMailAddress","Contact Information (English) — electronicMailAddress","Information contact (anglais) — electronicMailAddress","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString"
"30","29-30-contact_information.fr","Contact Information (French)","Information contact (français)","M","S","Free text","",""
"30a","29-30-contact_information.fr — deliveryPoint","Contact Information (French) — deliveryPoint","Information contact (français) — deliveryPoint","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"30b","29-30-contact_information.fr — city","Contact Information (French) — city","Information contact (français) — city","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"30c","29-30-contact_information.fr — administrativeArea","Contact Information (French) — administrativeArea","Information contact (français) — administrativeArea","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"30d","29-30-contact_information.fr — postalCode","Contact Information (French) — postalCode","Information contact (français) — postalCode","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"30e","29-30-contact_information.fr — country","Contact Information (French) — country","Information contact (français) — country","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"30f","29-30-contact_information.fr — electronicMailAddress","Contact Information (French) — electronicMailAddress","Information contact (français) — electronicMailAddress","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"31","31-maintainer_email","Contact Email","Adresse électronique du contact","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString"
"32","32-33-notes_translated","Description (English)","Description (anglais)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString"
"33","33-notes_translated.fr","Description (French)","Description (français)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"34","34-35-keywords","Keywords (English)","Mots clés (anglais)","M","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString"
"35","35-keywords.fr","Keywords (French)","Mots clés (français)","M","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"36","36-subject","Subject","Sujet","M","R","CL 1.3.5","",""
"37","37-topic_category","Topic Category","Catégorie thématique","M","R","CL 1.3.16", "value", "gmd:identificationInfo/gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode"
"38","audience","Audience","Audience ","O","R","CL 1.3.22","excluded","TBS: Not in HNAP, we can skip"
"39","place_of_publication","Place of Publication (English) ","Place de publication (anglais)","O","R","Free text","excluded","Not in HNAP, we can skip"
"40","place_of_publication.fr","Place of Publication (French)","Place de publication (français)","O","R","Free text","excluded","Not in HNAP, we can skip"
"41","41-spatial","Spatial","Élement spatial","O","R","Free text","",""
"41n","41-spatial-n","Spatial-North","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal"
"41s","41-spatial-s","Spatial-South","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal"
"41e","41-spatial-e","Spatial-East","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal"
"41w","41-spatial-w","Spatial-West","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal"
"42","geographic_region","Geographic Region Name","Nom du région géographique","O","R","CL 1.3.6","excluded","Not in HNAP, we can skip (the only providing the bounding box, not the region name)"
"43","43-time_period_coverage_start","Time Period Coverage Start Date","Couverture de la période de temps - date de début","O","S","YYYY-MM-DD","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent/gml:TimePeriod/gml:beginPosition"
"44","44-time_period_coverage_end","Time Period Coverage End Date","Couverture de la période de temps - date de fin","O","S","YYYY-MM-DD","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent/gml:TimePeriod/gml:endPosition"
"45","45-frequency","Maintenance and Update Frequency","Fréquence mise à jour","M","S","CL 1.3.7","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode"
"46","46-date_published","Date Published","Date de publication ","O","S","YYYY-MM-DD","manual","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date"
"47","47-date_modified","Date Modified","Date de modification ","M","S","YYYY-MM-DD","manual","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date"
"48","48-portal_release_date","Date Released","Date de sortie","M","S","YYYY-MM-DD","system generated",""
"49","49-program_page_url","Homepage URL (English)","URL de la page d'accueil (anglais)","O","S","URL","excluded","Not in HNAP, we can skip"
"50","50-program_page_url.fr","Homepage URL (French)","URL de la page d'accueil (français)","O","S","URL","excluded","Not in HNAP, we can skip"
"51","51-data_series_name","Series Name (English)","Nom de la série (anglais)","O","S","Free text","excluded","Not in HNAP, we can skip"
"52","52-data_series_name.fr","Series Name (French) ","Nom de la série (français)","O","S","Free text","excluded","Not in HNAP, we can skip"
"53","53-data_series_issue_identification","Series Issue Identification (English)","Identificateur du numéro de série (anglais)","O","S","Free text","excluded","Not in HNAP, we can skip"
"54","54-data_series_issue_identification","Series Issue Identification (French)","Identificateur du numéro de série (français)","O","S","Free text","excluded","Not in HNAP, we can skip"
"55","55-digital_object_identifier","Digital Object Identifier","Identificateur d'objet numérique","O","S","Free text","excluded","Not in HNAP, we can skip"
"57","57-58-distributor","Distributor (English)","Distributeur (anglais)","M","S","Free text","",""
